id , 3HSP Source name , BZcat name , R.A. , Dec , NVSS/FIRSTflux density(mJy) , X-ray flux d. @ 1keV (μJy) , Log(peak flux) , FOM , γ-ray counterpart , Fermi γ-ray slope , 2WHSP name
393 , "3HSPJ041645.3-552529" , "" , "04 16 45.27" , "-55 25 28.99" , "39.3" , "0.04" , "-12.9?" , 0.05 , "" , "" , "2WHSPJ041645.1-552528"
394 , "3HSPJ041652.5+010523" , "5BZBJ0416+0105" , "04 16 52.48" , "+01 05 22.99" , "120.7" , "4.53" , "-10.8" , 6.31 , "3FGL J0416.8+0104" , "1.75" , "2WHSPJ041652.3+010522"
395 , "3HSPJ041855.9+132451" , "" , "04 18 55.85" , "+13 24 51.01" , "14.7" , "0.87" , "-12.1" , 0.32 , "" , "" , "2WHSPJ041855.8+132451"
396 , "3HSPJ041949.4+843836" , "" , "04 19 49.36" , "+84 38 35.98" , "3.7" , "0.12" , "-12.3" , 0.2 , "" , "" , "2WHSPJ041949.3+843835"
397 , "3HSPJ042011.0-601505" , "" , "04 20 11.02" , "-60 15 05.0" , "" , "0.18" , "-12.1" , 0.32 , "3FGL J0420.4-6013" , "1.85" , ""
398 , "3HSPJ042013.4+401121" , "" , "04 20 13.43" , "+40 11 21.01" , "116.1" , "" , "-11.9" , 0.5 , "4FGL J0420.2+4012" , "1.91" , ""
399 , "3HSPJ042026.4-651400" , "" , "04 20 26.38" , "-65 13 59.98" , "56.9" , "" , "-11.8" , 0.63 , "" , "" , "2WHSPJ042026.2-651359"
400 , "3HSPJ042132.9-062903" , "5BZBJ0421-0629" , "04 21 32.92" , "-06 29 03.01" , "16" , "1.32" , "-11.9" , 0.5 , "" , "" , "2WHSPJ042132.8-062903"
401 , "3HSPJ042218.3+195055" , "5BZBJ0422+1950" , "04 22 18.34" , "+19 50 54.99" , "9" , "2.09" , "-11.8" , 0.63 , "3FGL J0421.6+1950" , "2.33" , "2WHSPJ042218.3+195054"
402 , "3HSPJ042301.2-522716" , "" , "04 23 01.23" , "-52 27 15.98" , "27.7" , "0.06" , "-12.5" , 0.13 , "" , "" , "2WHSPJ042302.4-522739"
403 , "3HSPJ042308.0-315958" , "" , "04 23 07.97" , "-31 59 57.98" , "5.3" , "0.08" , "-12.5" , 0.13 , "" , "" , "2WHSPJ042307.9-315957"
404 , "3HSPJ042344.9-543150" , "" , "04 23 44.89" , "-54 31 50.01" , "37.9" , "" , "-12.6?" , 0.1 , "" , "" , "2WHSPJ042344.2-543142"
405 , "3HSPJ042525.4+632001" , "" , "04 25 25.35" , "+63 20 00.99" , "25.2" , "0.24" , "-11.9?" , 0.5 , "3FGL J0425.2+6319" , "1.96" , ""
406 , "3HSPJ042733.4-183010" , "" , "04 27 33.35" , "-18 30 10.0" , "15.7" , "0.32" , "-11.8" , 0.63 , "" , "" , "2WHSPJ042733.2-183010"
407 , "3HSPJ042850.8-380550" , "5BZGJ0428-3805" , "04 28 50.83" , "-38 05 49.99" , "49.1" , "0.03" , "-12.7" , 0.08 , "3FGL J0428.6-3756" , "2.04" , ""
408 , "3HSPJ042900.2-323641" , "5BZBJ0429-3236" , "04 29 00.17" , "-32 36 41.0" , "9.3" , "0.74" , "-11.9" , 0.5 , "1BIGB_J042900.1-323641" , "1.89" , "2WHSPJ042900.1-323641"
409 , "3HSPJ042958.9-305935" , "" , "04 29 58.92" , "-30 59 35.01" , "41.8" , "" , "-11.8" , 0.63 , "3FGL J0430.1-3103" , "1.97" , ""
410 , "3HSPJ043046.4+030337" , "" , "04 30 46.38" , "+03 03 37.0" , "9.2" , "0.25" , "-12.3" , 0.2 , "" , "" , "2WHSPJ043046.3+030337"
411 , "3HSPJ043145.1+740326" , "" , "04 31 45.05" , "+74 03 25.99" , "30.5" , "0.19" , "-11.8" , 0.63 , "3FGL J0431.6+7403" , "1.99" , "2WHSPJ043145.0+740325"
412 , "3HSPJ043154.9-653635" , "" , "04 31 54.93" , "-65 36 34.99" , "10.1" , "" , "-12.3" , 0.2 , "" , "" , "2WHSPJ043154.8-653634"
413 , "3HSPJ043307.5+322840" , "" , "04 33 07.54" , "+32 28 40.0" , "15.2" , "0.27" , "-11.7" , 0.79 , "3FGL J0433.1+3228" , "1.97" , "2WHSPJ043307.4+322840"
414 , "3HSPJ043332.9-104232" , "" , "04 33 32.88" , "-10 42 32.0" , "16.1" , "0.26" , "-12.2" , 0.25 , "" , "" , "2WHSPJ043332.8-104232"
415 , "3HSPJ043344.1-572613" , "" , "04 33 44.13" , "-57 26 12.98" , "14" , "" , "-12.3" , 0.2 , "3FGL J0434.0-5726" , "2" , ""
416 , "3HSPJ043441.0+092348" , "" , "04 34 40.98" , "+09 23 48.01" , "118.5" , "" , "-11.4" , 1.58 , "3FGL J0434.6+0921" , "2.11" , ""
417 , "3HSPJ043517.8-262122" , "" , "04 35 17.76" , "-26 21 21.99" , "17" , "0.36" , "-11.8" , 0.63 , "1BIGB_J043517.7-262121" , "2.52" , "2WHSPJ043517.7-262121"
418 , "3HSPJ043726.1-462500" , "" , "04 37 26.9" , "-46 25 00.01" , "" , "0.27" , "-11.8" , 0.63 , "" , "" , "2WHSPJ043726.8-462500"
419 , "3HSPJ043837.1-732921" , "" , "04 38 37.07" , "-73 29 21.01" , "20.6" , "" , "-12.7" , 0.08 , "4FGL J0438.0-7329" , "2.1" , ""
420 , "3HSPJ043837.4+311939" , "" , "04 38 37.44" , "+31 19 39.0" , "7.3" , "0.21" , "-11.8" , 0.63 , "" , "" , "2WHSPJ043837.3+311939"
421 , "3HSPJ043932.0-320052" , "" , "04 39 32.2" , "-32 00 51.98" , "10.9" , "0.04" , "-12.2" , 0.25 , "3FGL J0439.6-3159" , "1.77" , ""
422 , "3HSPJ044018.6-245933" , "5BZBJ0440-2459" , "04 40 18.62" , "-24 59 32.99" , "12.7" , "0.59" , "-11.9" , 0.5 , "3FGL J0440.3-2500" , "1.72" , "2WHSPJ044018.6-245932"
423 , "3HSPJ044050.4+275046" , "5BZBJ0440+2750" , "04 40 50.36" , "+27 50 45.99" , "103.1" , "0.04" , "-11.8" , 0.63 , "3FGL J0440.8+2751" , "1.95" , ""
424 , "3HSPJ044127.5+150455" , "5BZBJ0441+1504" , "04 41 27.47" , "+15 04 54.98" , "14" , "2.01" , "-11.5" , 1.26 , "1BIGB_J044127.4+150454" , "2.06" , "2WHSPJ044127.4+150454"
425 , "3HSPJ044139.2-105735" , "" , "04 41 39.23" , "-10 57 34.99" , "50.6" , "" , "-12.2" , 0.25 , "" , "" , "2WHSPJ044139.1-105734"
426 , "3HSPJ044230.2-001829" , "5BZBJ0442-0018" , "04 42 30.23" , "-00 18 29.01" , "4.2" , "0.24" , "-12.1" , 0.32 , "3FGL J0442.6-0017" , "2.5" , "2WHSPJ044230.1-001829"
427 , "3HSPJ044240.7+614039" , "" , "04 42 40.65" , "+61 40 39.0" , "74" , "0.52" , "-11.8?" , 0.63 , "1BIGB_J044240.6+614039" , "1.95" , "2WHSPJ044240.6+614039"
428 , "3HSPJ044328.4-415156" , "" , "04 43 28.39" , "-41 51 56.01" , "26.8" , "1.2" , "-11.3" , 2 , "1BIGB_J044328.3-415156" , "1.94" , "2WHSPJ044328.3-415156"
429 , "3HSPJ044458.4-583630" , "" , "04 44 58.38" , "-58 36 29.98" , "" , "" , "-12.6" , 0.1 , "" , "" , "2WHSPJ044458.3-583629"
430 , "3HSPJ044627.2-434632" , "" , "04 46 27.19" , "-43 46 32.01" , "51.1" , "0.18" , "-12" , 0.4 , "" , "" , "2WHSPJ044627.1-434632"
431 , "3HSPJ044758.0-354938" , "" , "04 47 57.96" , "-35 49 37.99" , "12.8" , "" , "-12.4" , 0.16 , "" , "" , "2WHSPJ044757.9-354937"
432 , "3HSPJ044837.6-163243" , "5BZBJ0448-1632" , "04 48 37.61" , "-16 32 43.0" , "59.1" , "0.22" , "-11.5" , 1.26 , "3FGL J0448.6-1632" , "1.86" , "2WHSPJ044837.6-163243"
433 , "3HSPJ044855.1-101855" , "" , "04 48 55.08" , "-10 18 55.0" , "22.6" , "0.19" , "-12.3" , 0.2 , "" , "" , "2WHSPJ044855.0-101855"
434 , "3HSPJ044917.0-422342" , "" , "04 49 17.04" , "-42 23 42.0" , "20" , "" , "-12.4" , 0.16 , "" , "" , "2WHSPJ044916.9-422342"
435 , "3HSPJ044924.7-435008" , "5BZBJ0449-4350" , "04 49 24.69" , "-43 50 08.01" , "382.1" , "2.15" , "-10.3" , 19.95 , "3FGL J0449.4-4350" , "1.85" , "2WHSPJ044924.6-435008"
436 , "3HSPJ045039.3-160212" , "" , "04 50 39.28" , "-16 02 12.01" , "9.4" , "" , "-12.3" , 0.2 , "" , "" , "2WHSPJ045039.1-160212"
437 , "3HSPJ045107.1-232533" , "" , "04 51 07.5" , "-23 25 32.98" , "13.4" , "0.75" , "-12.1" , 0.32 , "" , "" , "2WHSPJ045107.5-232532"
438 , "3HSPJ045148.6+572141" , "" , "04 51 48.64" , "+57 21 41.0" , "31.1" , "" , "-11.7" , 0.79 , "3FGL J0451.7+5722" , "2.49" , ""
439 , "3HSPJ045215.0+210303" , "" , "04 52 15.3" , "+21 03 02.98" , "15.2" , "0.23" , "-12.2" , 0.25 , "" , "" , "2WHSPJ045215.3+210302"
440 , "3HSPJ045249.5-000152" , "" , "04 52 49.49" , "-00 01 51.99" , "27.7" , "0.38" , "-12.4" , 0.16 , "" , "" , "2WHSPJ045249.4-000151"
441 , "3HSPJ045358.6+120457" , "" , "04 53 58.55" , "+12 04 56.71" , "" , "" , ">-11.8" , 0.63 , "" , "" , ""
442 , "3HSPJ045658.6-080530" , "" , "04 56 58.55" , "-08 05 30.01" , "3.7" , "0.33" , "-12.2" , 0.25 , "" , "" , "2WHSPJ045658.5-080530"
443 , "3HSPJ045741.6+062221" , "" , "04 57 41.62" , "+06 22 20.99" , "9.3" , "" , "-12.1" , 0.32 , "" , "" , "2WHSPJ045741.5+062220"
444 , "3HSPJ045744.2-014932" , "" , "04 57 44.23" , "-01 49 32.01" , "10" , "0.44" , "-12.3" , 0.2 , "" , "" , "2WHSPJ045744.2-014932"
445 , "3HSPJ045804.9+115143" , "" , "04 58 04.87" , "+11 51 42.98" , "44.5" , "" , "-12.3?" , 0.2 , "4FGL J0458.0+1152" , "1.83" , ""
446 , "3HSPJ045823.5-864409" , "" , "04 58 23.53" , "-86 44 08.98" , "93.1" , "0.19" , "-12.2" , 0.25 , "" , "" , "2WHSPJ045823.5-864408"
447 , "3HSPJ045834.8+085643" , "" , "04 58 34.79" , "+08 56 43.0" , "20.1" , "0.86" , "-12.2" , 0.25 , "" , "" , "2WHSPJ045834.7+085643"
448 , "3HSPJ045937.0-541707" , "" , "04 59 36.99" , "-54 17 07.0" , "" , "0.09" , "-12.4" , 0.16 , "4FGL J0459.7-5413" , "2.17" , ""
449 , "3HSPJ050021.5+523801" , "" , "05 00 21.48" , "+52 38 00.99" , "58.7" , "0.98" , "-11.4" , 1.58 , "3FGL J0500.3+5237" , "2.35" , ""
450 , "3HSPJ050043.1+190317" , "" , "05 00 43.9" , "+19 03 16.99" , "13.1" , "0.11" , "-12.3?" , 0.2 , "" , "" , ""
451 , "3HSPJ050130.0+020400" , "" , "05 01 30.0" , "+02 04 00.01" , "10.3" , "0.37" , "-12.4" , 0.16 , "" , "" , ""
452 , "3HSPJ050141.2+304825" , "" , "05 01 41.15" , "+30 48 24.98" , "35.3" , "0.34" , "-11.8" , 0.63 , "3FGL J0501.8+3046" , "2.12" , ""
453 , "3HSPJ050240.7-120429" , "" , "05 02 40.73" , "-12 04 28.99" , "5.3" , "0.24" , "-12.4" , 0.16 , "" , "" , "2WHSPJ050240.6-120428"
454 , "3HSPJ050244.1-450455" , "" , "05 02 44.8" , "-45 04 54.98" , "13.2" , "0.12" , "-12.3" , 0.2 , "" , "" , "2WHSPJ050244.8-450454"
455 , "3HSPJ050305.8+653401" , "5BZBJ0503+6534" , "05 03 05.82" , "+65 34 00.98" , "78.3" , "1.33" , "-11.4?" , 1.58 , "3FGL J0503.5+6538" , "2.21" , ""
456 , "3HSPJ050319.1-390022" , "" , "05 03 19.07" , "-39 00 21.99" , "4.2" , "0.1" , "-12.4" , 0.16 , "" , "" , "2WHSPJ050319.0-390021"
457 , "3HSPJ050335.0-111506" , "5BZBJ0503-1115" , "05 03 35.4" , "-11 15 06.01" , "10.5" , "0.58" , "-11.9" , 0.5 , "1BIGB_J050335.3-111506" , "1.83" , "2WHSPJ050335.3-111506"
458 , "3HSPJ050339.6+451659" , "" , "05 03 39.56" , "+45 16 59.01" , "34.8" , "0.29" , "-11.7" , 0.79 , "3FGL J0503.4+4522" , "2.36" , ""
459 , "3HSPJ050419.1-095632" , "" , "05 04 19.5" , "-09 56 31.99" , "26.4" , "1.41" , "-11.6" , 1 , "1BIGB_J050419.5-095631" , "2.15" , "2WHSPJ050419.5-095631"
460 , "3HSPJ050534.8+041554" , "5BZBJ0505+0415" , "05 05 34.75" , "+04 15 53.99" , "168.1" , "0.82" , "-11.6" , 1 , "3FGL J0505.5+0416" , "1.91" , "2WHSPJ050534.6+041553"
461 , "3HSPJ050552.0-814358" , "" , "05 05 52.04" , "-81 43 58.0" , "31.6" , "0.04" , "-12.5" , 0.13 , "" , "" , "2WHSPJ050552.0-814358"
462 , "3HSPJ050558.8+611335" , "5BZBJ0505+6113" , "05 05 58.79" , "+61 13 35.0" , "22.4" , "0.11" , "-12" , 0.4 , "3FGL J0505.9+6114" , "2.01" , "2WHSPJ050558.6+611335"
463 , "3HSPJ050559.7-292630" , "" , "05 05 59.69" , "-29 26 30.01" , "4.3" , "0.03" , "-12.3" , 0.2 , "" , "" , "2WHSPJ050559.5-292630"
464 , "3HSPJ050601.7-382055" , "" , "05 06 01.67" , "-38 20 54.99" , "23.4" , "0.2" , "-12" , 0.4 , "1BIGB_J050601.6-382054" , "2.07" , "2WHSPJ050601.6-382054"
465 , "3HSPJ050639.1-085801" , "5BZBJ0506-0858" , "05 06 39.9" , "-08 58 00.98" , "21.1" , "0.2" , "-12.1" , 0.32 , "2FGL J0506.5-0901" , "2.24" , "2WHSPJ050639.9-085800"
466 , "3HSPJ050643.0-234419" , "" , "05 06 43.03" , "-23 44 18.99" , "13.9" , "0.24" , "-12.4" , 0.16 , "" , "" , "2WHSPJ050643.0-234418"
467 , "3HSPJ050650.1+032358" , "" , "05 06 50.14" , "+03 23 57.98" , "21" , "" , "-12.1" , 0.32 , "3FGL J0506.9+0321" , "1.8" , ""
468 , "3HSPJ050657.8-543503" , "5BZBJ0506-5435" , "05 06 57.79" , "-54 35 03.01" , "18" , "1.08" , "-11.3" , 2 , "3FGL J0506.9-5435" , "1.6" , "2WHSPJ050657.7-543503"
469 , "3HSPJ050709.0-385948" , "" , "05 07 09.3" , "-38 59 48.01" , "7.5" , "0.33" , ">-12.2" , 0.25 , "" , "" , "2WHSPJ050709.2-385948"
470 , "3HSPJ050727.3-334635" , "" , "05 07 27.27" , "-33 46 35.0" , "61.2" , "0.59" , "-11.8" , 0.63 , "1BIGB_J050727.1-334635" , "1.72" , "2WHSPJ050727.1-334635"
471 , "3HSPJ050756.2+673724" , "5BZBJ0507+6737" , "05 07 56.15" , "+67 37 23.98" , "26.4" , "3.43" , "-10.7" , 7.94 , "3FGL J0508.0+6736" , "1.52" , "2WHSPJ050756.0+673723"
472 , "3HSPJ050813.0-280742" , "" , "05 08 13.1" , "-28 07 41.98" , "2.9" , "0.24" , "-12.4" , 0.16 , "" , "" , "2WHSPJ050813.0-280741"
473 , "3HSPJ050833.4+053109" , "" , "05 08 33.38" , "+05 31 09.01" , "46.8" , "" , "-11.8" , 0.63 , "" , "" , "2WHSPJ050833.3+053109"
474 , "3HSPJ050912.9-731755" , "" , "05 09 12.88" , "-73 17 54.99" , "8.5" , "" , "-12.1" , 0.32 , "" , "" , "2WHSPJ050912.7-731754"
475 , "3HSPJ050938.2-040045" , "5BZBJ0509-0400" , "05 09 38.16" , "-04 00 45.0" , "71.2" , "4.31" , "-11.4" , 1.58 , "3FGL J0509.7-0400" , "1.65" , "2WHSPJ050938.0-040045"
476 , "3HSPJ050939.9-251403" , "5BZBJ0509-2514" , "05 09 39.86" , "-25 14 03.01" , "4.5" , "0.63" , "-12.2?" , 0.25 , "" , "" , "2WHSPJ050939.9-251403"
477 , "3HSPJ050957.3-641741" , "" , "05 09 57.28" , "-64 17 40.99" , "24.7" , "1.74" , "-11.4" , 1.58 , "3FGL J0509.7-6418" , "2" , ""
478 , "3HSPJ051304.5-022034" , "" , "05 13 04.48" , "-02 20 34.0" , "9.7" , "0.53" , "-12.3" , 0.2 , "" , "" , "2WHSPJ051304.3-022034"
479 , "3HSPJ051427.1-341225" , "" , "05 14 27.09" , "-34 12 24.98" , "5.8" , "0.32" , "-12.2" , 0.25 , "" , "" , "2WHSPJ051426.9-341224"
480 , "3HSPJ051439.2-001104" , "" , "05 14 39.15" , "-00 11 03.98" , "50.2" , "" , "-12.3" , 0.2 , "" , "" , "2WHSPJ051439.1-001103"
481 , "3HSPJ051533.2-012355" , "" , "05 15 33.18" , "-01 23 54.99" , "35.3" , "" , "-11.7" , 0.79 , "3FGL J0515.5-0123" , "1.75" , ""
482 , "3HSPJ051631.0+735108" , "5BZBJ0516+7351" , "05 16 31.2" , "+73 51 07.99" , "57.9" , "0.27" , "-11.9" , 0.5 , "3FGL J0516.3+7351" , "1.97" , "2WHSPJ051631.1+735107"
483 , "3HSPJ051845.5-572055" , "" , "05 18 45.47" , "-57 20 54.99" , "39.4" , "0.27" , "-12.4" , 0.16 , "" , "" , "2WHSPJ051845.4-572054"
484 , "3HSPJ052026.2-555430" , "" , "05 20 26.16" , "-55 54 29.98" , "12.8" , "0.11" , "-12.3" , 0.2 , "" , "" , "2WHSPJ052026.0-555429"
485 , "3HSPJ052042.0+653351" , "" , "05 20 41.98" , "+65 33 51.01" , "5.4" , "0.38" , "-12" , 0.4 , "" , "" , "2WHSPJ052041.8+653351"
486 , "3HSPJ052133.7-295748" , "" , "05 21 33.66" , "-29 57 47.98" , "8.1" , "0.1" , "-12.4" , 0.16 , "" , "" , "2WHSPJ052133.6-295747"
487 , "3HSPJ052146.0+211251" , "5BZBJ0521+2112" , "05 21 45.96" , "+21 12 51.01" , "530" , "0.42" , "-10.6" , 10 , "3FGL J0521.7+2113" , "1.92" , "2WHSPJ052145.9+211251"
488 , "3HSPJ052343.0-814201" , "" , "05 23 43.3" , "-81 42 01.0" , "45" , "0.18" , "-12.4" , 0.16 , "" , "" , "2WHSPJ052343.3-814201"
489 , "3HSPJ052438.0+754000" , "" , "05 24 37.98" , "+75 40 00.01" , "5.4" , "0.08" , "-12.3" , 0.2 , "" , "" , "2WHSPJ052437.9+754000"
490 , "3HSPJ052439.8-261554" , "" , "05 24 39.76" , "-26 15 54.0" , "20.5" , "0.6" , "-12.1" , 0.32 , "" , "" , "2WHSPJ052439.7-261554"
491 , "3HSPJ052542.4-601340" , "" , "05 25 42.41" , "-60 13 40.0" , "20.8" , "0.04" , "-12.7" , 0.08 , "3FGL J0525.6-6013" , "1.73" , "2WHSPJ052542.4-601340"
492 , "3HSPJ052643.2-180813" , "" , "05 26 43.19" , "-18 08 12.98" , "14.5" , "0.24" , "-12.1" , 0.32 , "" , "" , "2WHSPJ052643.0-180812"
493 , "3HSPJ052645.4-151900" , "" , "05 26 45.43" , "-15 19 00.01" , "18" , "" , "-11.4" , 1.58 , "4FGL J0526.7-1519" , "1.96" , "2WHSPJ052645.4-151900"
494 , "3HSPJ052846.1-592003" , "" , "05 28 46.06" , "-59 20 03.01" , "20" , "0.09" , "-11.9" , 0.5 , "3FGL J0529.2-5917" , "2.37" , ""
495 , "3HSPJ052902.6+093435" , "" , "05 29 02.56" , "+09 34 35.0" , "30.7" , "2.26" , "-11.5" , 1.26 , "3FGL J0529.1+0933" , "2.32" , "2WHSPJ052902.5+093435"
496 , "3HSPJ053138.4+073040" , "" , "05 31 38.39" , "+07 30 39.99" , "" , "0.11" , "-12.4" , 0.16 , "" , "" , ""
497 , "3HSPJ053547.4-315342" , "" , "05 35 47.36" , "-31 53 41.99" , "5.2" , "0.15" , "-12.6" , 0.1 , "" , "" , "2WHSPJ053547.2-315341"
498 , "3HSPJ053626.9-254748" , "" , "05 36 26.88" , "-25 47 48.01" , "9.7" , "0.2" , "-12.8" , 0.06 , "1BIGB_J053626.8-254748" , "1.97" , "2WHSPJ053626.8-254748"
499 , "3HSPJ053629.1-334302" , "5BZBJ0536-3343" , "05 36 29.05" , "-33 43 01.99" , "136.2" , "1.72" , "-11.3" , 2 , "3FGL J0536.4-3347" , "2.29" , "2WHSPJ053628.9-334301"
500 , "3HSPJ053629.9-752412" , "" , "05 36 29.85" , "-75 24 11.98" , "23.8" , "0.17" , "-12.1" , 0.32 , "" , "" , "2WHSPJ053629.8-752411"
501 , "3HSPJ053645.3-255841" , "" , "05 36 45.34" , "-25 58 41.01" , "2.7" , "" , "-12.6" , 0.1 , "1BIGB_J053645.2-255841" , "1.81" , "2WHSPJ053645.2-255841"
502 , "3HSPJ053737.5-233700" , "" , "05 37 37.49" , "-23 37 00.01" , "8.6" , "0.11" , "-12.8" , 0.06 , "" , "" , "2WHSPJ053737.3-233700"
503 , "3HSPJ053737.7-140440" , "" , "05 37 37.67" , "-14 04 40.0" , "10.5" , "0.46" , "-12.3" , 0.2 , "" , "" , "2WHSPJ053737.6-140440"
504 , "3HSPJ053749.0-571830" , "5BZBJ0537-5718" , "05 37 48.95" , "-57 18 29.98" , "102.6" , "0.13" , "-11.7" , 0.79 , "3FGL J0537.4-5717" , "2.05" , ""
505 , "3HSPJ053809.8+031556" , "" , "05 38 09.78" , "+03 15 56.01" , "12.4" , "" , "-12.4" , 0.16 , "" , "" , "2WHSPJ053809.7+031556"
506 , "3HSPJ053810.4-390842" , "5BZUJ0538-3908" , "05 38 10.36" , "-39 08 42.0" , "28.6" , "1.45" , "-11.8" , 0.63 , "3FGL J0538.4-3909" , "2.04" , "2WHSPJ053810.3-390842"
507 , "3HSPJ053949.6-102938" , "" , "05 39 49.55" , "-10 29 38.0" , "11.4" , "" , "-12.1" , 0.32 , "" , "" , "2WHSPJ053949.4-102938"
508 , "3HSPJ054030.0+582338" , "5BZBJ0540+5823" , "05 40 30.0" , "+58 23 38.0" , "29.9" , "1.54" , "-11.2" , 2.51 , "3FGL J0540.4+5823" , "2" , "2WHSPJ054029.9+582338"
509 , "3HSPJ054106.9-485410" , "" , "05 41 06.91" , "-48 54 10.0" , "" , "0.05" , "-12.5" , 0.13 , "4FGL J0541.1-4854" , "1.97" , ""
510 , "3HSPJ054357.0-553207" , "5BZBJ0543-5532" , "05 43 57.2" , "-55 32 07.0" , "43.4" , "3.1" , "-11.1" , 3.16 , "3FGL J0543.9-5531" , "1.77" , "2WHSPJ054357.1-553207"
511 , "3HSPJ054449.2-193814" , "" , "05 44 49.19" , "-19 38 13.99" , "12.8" , "0.22" , "-12.3" , 0.2 , "" , "" , "2WHSPJ054449.1-193813"
512 , "3HSPJ054504.5+065810" , "" , "05 45 04.48" , "+06 58 09.98" , "19.6" , "0.1" , "-12.3" , 0.2 , "" , "" , "2WHSPJ054504.3+065809"
513 , "3HSPJ054655.0-685134" , "" , "05 46 55.2" , "-68 51 33.98" , "14.8" , "0.29" , "-12" , 0.4 , "" , "" , "2WHSPJ054655.2-685133"
514 , "3HSPJ054656.8-220457" , "5BZBJ0546-2204" , "05 46 56.76" , "-22 04 56.99" , "12.5" , "0.34" , "-12.5?" , 0.13 , "4FGL J0546.9-2206" , "1.84" , "2WHSPJ054656.6-220456"
515 , "3HSPJ054746.6-460709" , "" , "05 47 46.59" , "-46 07 09.01" , "17.7" , "0.06" , "-12.8" , 0.06 , "" , "" , "2WHSPJ054746.4-460709"
516 , "3HSPJ054903.0-215001" , "" , "05 49 03.4" , "-21 50 00.99" , "11.6" , "0.17" , "-12.6" , 0.1 , "" , "" , ""
517 , "3HSPJ054906.9+325803" , "" , "05 49 06.86" , "+32 58 03.0" , "37.6" , "" , ">-11.9" , 0.5 , "4FGL J0549.0+3258" , "1.93" , ""
518 , "3HSPJ055026.6-435703" , "" , "05 50 26.57" , "-43 57 02.98" , "10.2" , "" , "-12.5?" , 0.13 , "4FGL J0550.5-4356" , "1.86" , ""
519 , "3HSPJ055040.6-321616" , "5BZGJ0550-3216" , "05 50 40.56" , "-32 16 15.99" , "344.8" , "13.73" , "-10.7" , 7.94 , "3FGL J0550.6-3217" , "1.61" , "2WHSPJ055040.5-321615"
520 , "3HSPJ055102.0-472429" , "" , "05 51 02.0" , "-47 24 29.01" , "26.6" , "" , "-12" , 0.4 , "" , "" , "2WHSPJ055101.9-472429"
521 , "3HSPJ055333.1-203418" , "5BZBJ0553-2034" , "05 53 33.12" , "-20 34 18.01" , "233.2" , "0.71" , "-11.8" , 0.63 , "3FGL J0553.5-2036" , "1.99" , ""
522 , "3HSPJ055411.1-275729" , "" , "05 54 11.09" , "-27 57 29.01" , "16.3" , "0.76" , "-12.1?" , 0.32 , "" , "" , "2WHSPJ055411.0-275729"
523 , "3HSPJ055716.8-061706" , "" , "05 57 16.82" , "-06 17 06.0" , "11.6" , "1.01" , "-11.4" , 1.58 , "1BIGB_J055716.7-061706" , "1.79" , "2WHSPJ055716.7-061706"
524 , "3HSPJ055734.0-685341" , "" , "05 57 34.3" , "-68 53 40.99" , "34" , "0.09" , "-12.5" , 0.13 , "" , "" , "2WHSPJ055734.3-685340"
525 , "3HSPJ055806.4-383831" , "5BZBJ0558-3838" , "05 58 06.42" , "-38 38 30.98" , "129.4" , "3.71" , "-11.2" , 2.51 , "4FGL J0558.0-3837" , "1.96" , "2WHSPJ055806.4-383830"
526 , "3HSPJ055941.0+304228" , "" , "05 59 40.98" , "+30 42 28.0" , "45.5" , "" , "-12.2" , 0.25 , "4FGL J0559.6+3044" , "1.71" , ""
527 , "3HSPJ055959.3+640958" , "" , "05 59 59.32" , "+64 09 57.99" , "32.4" , "0.47" , "-11.9" , 0.5 , "4FGL J0559.9+6409" , "2.04" , "2WHSPJ055959.2+640957"
528 , "3HSPJ060015.0+124343" , "" , "06 00 14.99" , "+12 43 42.99" , "42.2" , "0.28" , "-11.5?" , 1.26 , "4FGL J0600.3+1244" , "1.53" , ""
529 , "3HSPJ060200.4+531600" , "" , "06 02 00.43" , "+53 16 00.01" , "39.5" , "0.65" , "-11.3" , 2 , "4FGL J0602.0+5315" , "2.03" , "2WHSPJ060200.4+531600"
530 , "3HSPJ060251.3-401845" , "" , "06 02 51.29" , "-40 18 45.0" , "74.6" , "0.18" , "-11.5" , 1.26 , "4FGL J0602.8-4019" , "1.92" , ""
531 , "3HSPJ060408.1-481725" , "5BZBJ0604-4817" , "06 04 08.6" , "-48 17 25.0" , "32.3" , "1.41" , "-11.5" , 1.26 , "4FGL J0604.1-4816" , "1.44" , "2WHSPJ060408.5-481725"
532 , "3HSPJ060433.8-403754" , "" , "06 04 33.79" , "-40 37 54.01" , "13.8" , "0.18" , "-12.2" , 0.25 , "" , "" , "2WHSPJ060433.7-403754"
533 , "3HSPJ060450.0+833133" , "" , "06 04 50.04" , "+83 31 32.98" , "3.2" , "0.06" , "-12.7" , 0.08 , "" , "" , "2WHSPJ060449.9+833132"
534 , "3HSPJ060635.7-472954" , "" , "06 06 35.74" , "-47 29 53.98" , "286.3" , "0.63" , "-11.6" , 1 , "4FGL J0606.5-4730" , "2.33" , ""
535 , "3HSPJ060714.4-251859" , "5BZBJ0607-2518" , "06 07 14.38" , "-25 18 59.0" , "12.2" , "1" , "-12" , 0.4 , "4FGL J0607.2-2518" , "1.93" , "2WHSPJ060714.2-251859"
